,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,VSEC US,VSE,,,,,,,,,,116%,-11%,$    200.93,$           31.98,$          56.75,$           238.01,$        177.97,2.60%,0.22%,0.74%,2.89%,1352.86%,1352.86%,141%,,,,,,,NO,,,2.19%,0.18%,2.01%,0.03%,67
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,VSE - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.25%,11/10/2017,,,,,,,,,,$          56.75,-72%,0.20%,$        177.97,$          32.63,$              13.83,$           18.39,0.17%,1.25%,0.70%,0.17%,-15.58%,-15.58%,-11%,,,,5Y CAGR,2.13%,,VSE - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.69%,,VSE - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,VSE - Rating: 116% - Upside: -11%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       30.89,,,12/29/2014,,12/29/2014,,,,,0.74%,$             30.89,0.23,102.33,18.39,32.63,15%,231%,0.22%,1.25%,1.30%,550.57%,554.23%,1.13,0.70%,0.00%,,1997,0.00,-,116,,,0,0.18%,79,79,2.98%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       30.35,,,1/5/2015,,1/5/2015,,,,,0.76%,$             30.35,0.23,102.33,18.39,32.63,14%,237%,0.22%,1.25%,1.32%,562.04%,565.77%,1.13,0.70%,-1.73%,,1998,0.00,,-11,,,1,0.21%,92,171,3.47%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        29.61,,,1/12/2015,,1/12/2015,,,,,0.78%,$              29.61,0.23,102.33,18.39,32.63,13%,246%,0.22%,1.25%,1.35%,578.70%,582.52%,1.13,0.70%,-4.14%,,1999,0.00,,,,,2,0.24%,63,234,2.37%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       28.56,,,1/20/2015,,1/20/2015,,,,,0.81%,$             28.56,0.23,102.33,18.39,32.63,12%,258%,0.22%,1.25%,1.40%,603.54%,607.49%,1.13,0.70%,-7.53%,,2000,0.00,,1/1/1970,1970,,3,0.27%,16,250,0.60%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       28.68,,,1/26/2015,,1/26/2015,,,,,0.80%,$             28.68,0.23,102.33,18.39,32.63,12%,257%,0.22%,1.25%,1.39%,600.71%,604.66%,1.13,0.70%,-7.16%,,2001,0.00,,1/1/1971,1971,,4,0.30%,50,300,1.88%
