,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,VZ US,Verizon,,,,,,,,,,28%,45%,$       47.32,$          39.24,$          57.89,$             62.07,$          68.53,8.55%,4.10%,5.33%,8.55%,54.29%,54.29%,111%,,,,,,,NO,,,8.29%,3.98%,4.31%,0.10%,43
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,2.36%,,Verizon - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.17%,11/10/2017,,,,,,,,,,$          57.89,22%,5.94%,$          68.53,$          47.03,$             30.67,$           31.88,3.92%,7.17%,4.86%,4.23%,-23.76%,-23.36%,-22%,,,,5Y CAGR,2.20%,,Verizon - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.10%,,Verizon - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Verizon - Rating: 28% - Upside: 45%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       45.87,,,12/29/2014,,12/29/2014,,,,,4.98%,$             45.87,2.29,55.68,31.88,47.03,59%,21%,4.10%,7.17%,5.72%,3.16%,23.74%,9.44,4.86%,0.00%,,1997,0.00,-,28,,,0,3.98%,81,81,3.05%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       46.50,,,1/5/2015,,1/5/2015,,,,,4.91%,$             46.50,2.29,55.68,31.88,47.03,61%,20%,4.10%,7.17%,5.64%,1.76%,22.06%,9.44,4.86%,0.00%,,1998,0.00,,45,,,1,4.08%,133,214,5.01%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       45.52,,,1/12/2015,,1/12/2015,,,,,5.02%,$             45.52,2.29,55.68,31.88,47.03,57%,22%,4.10%,7.17%,5.76%,3.95%,24.69%,9.44,4.86%,-2.11%,,1999,0.00,,,,,2,4.18%,177,391,6.67%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       45.27,,,1/20/2015,,1/20/2015,,,,,5.05%,$             45.27,2.29,55.68,31.88,47.03,56%,23%,4.10%,7.17%,5.79%,4.53%,25.38%,9.44,4.86%,-2.65%,,2000,0.00,,1/1/1970,1970,,3,4.28%,203,594,7.65%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       44.83,,,1/26/2015,,1/26/2015,,,,,5.10%,$             44.83,2.29,55.68,31.88,47.03,54%,24%,4.10%,7.17%,5.85%,5.55%,26.61%,9.44,4.86%,-3.59%,,2001,0.00,,1/1/1971,1971,,4,4.38%,211,805,7.95%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       45.09,,,2/2/2015,,2/2/2015,,,,,5.07%,$             45.09,2.29,55.68,31.88,47.03,56%,23%,4.10%,7.17%,5.82%,4.95%,25.88%,9.44,4.86%,-3.03%,,2002,1.54,,1/1/1972,1972,,5,4.48%,166,971,6.25%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       44.93,,,2/9/2015,,2/9/2015,,,,,5.09%,$             44.93,2.29,55.68,31.88,47.03,55%,24%,4.10%,7.17%,5.84%,5.32%,26.33%,9.44,4.86%,-3.38%,,2003,1.54,0.00%,1/1/1973,1973,,6,4.58%,113,1084,4.26%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        44.15,,,2/17/2015,,2/17/2015,,,,,5.18%,$              44.15,2.29,55.68,31.88,47.03,52%,26%,4.10%,7.17%,5.94%,7.18%,28.56%,9.44,4.86%,-5.05%,,2004,1.54,0.00%,1/1/1974,1974,,7,4.68%,104,1188,3.92%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       44.87,,,2/23/2015,,2/23/2015,,,,,5.09%,$             44.87,2.29,55.68,31.88,47.03,55%,24%,4.10%,7.17%,5.84%,5.46%,26.50%,9.44,4.86%,-3.51%,,2005,1.60,3.90%,1/1/1975,1975,,8,4.78%,156,1344,5.88%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       44.43,,,3/2/2015,,3/2/2015,,,,,5.14%,$             44.43,2.29,55.68,31.88,47.03,53%,25%,4.10%,7.17%,5.90%,6.50%,27.75%,9.44,4.86%,-4.45%,,2006,1.62,1.25%,1/1/1976,1976,,9,4.88%,88,1432,3.31%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       44.87,,,3/9/2015,,3/9/2015,,,,,5.09%,$             44.87,2.29,55.68,31.88,47.03,55%,24%,4.10%,7.17%,5.84%,5.46%,26.50%,9.44,4.86%,-3.51%,,2007,1.65,1.54%,1/1/1977,1977,,10,4.98%,107,1539,4.03%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       44.42,,,3/16/2015,,3/16/2015,,,,,5.14%,$             44.42,2.29,55.68,31.88,47.03,53%,25%,4.10%,7.17%,5.90%,6.53%,27.78%,9.44,4.86%,-4.47%,,2008,1.75,6.38%,1/1/1978,1978,,11,5.08%,41,1580,1.54%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       45.87,,,3/23/2015,,3/23/2015,,,,,4.98%,$             45.87,2.29,55.68,31.88,47.03,59%,21%,4.10%,7.17%,5.72%,3.16%,23.74%,9.44,4.86%,-1.35%,,2009,1.86,6.00%,1/1/1979,1979,,12,5.18%,27,1607,1.02%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       47.04,,,3/30/2015,,3/30/2015,,,,,4.86%,$             47.04,2.29,55.68,31.88,47.03,64%,18%,4.10%,7.17%,5.58%,0.60%,20.66%,9.44,4.86%,0.00%,,2010,1.93,3.77%,1/1/1980,1980,,13,5.28%,21,1628,0.79%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       47.03,,,4/6/2015,,4/6/2015,,,,,4.86%,$             47.03,2.29,55.68,31.88,47.03,64%,18%,4.10%,7.17%,5.58%,0.62%,20.69%,9.44,4.86%,-0.02%,,2011,1.98,2.60%,1/1/1981,1981,,14,5.38%,8,1636,0.30%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       48.25,,,4/13/2015,,4/13/2015,,,,,4.74%,$             48.25,2.29,55.68,31.88,47.03,69%,15%,4.10%,7.17%,5.44%,-1.93%,17.64%,9.44,4.86%,0.00%,,2012,2.03,2.78%,1/1/1982,1982,,15,5.48%,17,1653,0.64%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       49.03,,,4/20/2015,,4/20/2015,,,,,4.66%,$             49.03,2.29,55.68,31.88,47.03,72%,14%,4.10%,7.17%,5.35%,-3.49%,15.77%,9.44,4.86%,0.00%,,2013,2.09,2.96%,1/1/1983,1983,,16,5.58%,16,1669,0.60%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                        49.01,,,4/27/2015,,4/27/2015,,,,,4.66%,$              49.01,2.29,55.68,31.88,47.03,72%,14%,4.10%,7.17%,5.35%,-3.45%,15.81%,9.44,4.86%,-0.04%,,2014,2.16,3.35%,1/1/1984,1984,,17,5.68%,20,1689,0.75%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       49.97,,,5/4/2015,,5/4/2015,,,,,4.57%,$             49.97,2.29,55.68,31.88,47.03,76%,11%,4.10%,7.17%,5.25%,-5.30%,13.59%,9.44,4.86%,0.00%,,2015,2.23,3.24%,1/1/1985,1985,,18,5.78%,20,1709,0.75%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       50.76,,,5/11/2015,,5/11/2015,,,,,4.50%,$             50.76,2.29,55.68,31.88,47.03,79%,10%,4.10%,7.17%,5.17%,-6.78%,11.82%,9.44,4.86%,0.00%,,2016,2.29,2.47%,1/1/1986,1986,,19,5.88%,34,1743,1.28%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                        49.91,,,5/18/2015,,5/18/2015,,,,,4.58%,$              49.91,2.29,55.68,31.88,47.03,76%,12%,4.10%,7.17%,5.25%,-5.19%,13.72%,9.44,4.86%,-1.67%,,2017,2.34,2.19%,1/1/1987,1987,,20,5.98%,41,1784,1.54%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       50.62,,,5/26/2015,,5/26/2015,,,,,4.51%,$             50.62,2.29,55.68,31.88,47.03,79%,10%,4.10%,7.17%,5.18%,-6.52%,12.13%,9.44,4.86%,-0.28%,,2018,2.39,2.14%,1/1/1988,1988,,21,6.08%,55,1839,2.07%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       50.43,,,6/1/2015,,6/1/2015,,,,,4.53%,$             50.43,2.29,55.68,31.88,47.03,78%,10%,4.10%,7.17%,5.20%,-6.17%,12.55%,9.44,4.86%,-0.65%,,2019,2.44,2.10%,1/1/1989,1989,,22,6.18%,85,1924,3.20%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       50.97,,,6/8/2015,,6/8/2015,,,,,4.48%,$             50.97,2.29,55.68,31.88,47.03,80%,9%,4.10%,7.17%,5.15%,-7.16%,11.36%,9.44,4.86%,0.00%,,2020,2.49,2.05%,1/1/1990,1990,,23,6.28%,77,2001,2.90%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       50.74,,,6/15/2015,,6/15/2015,,,,,4.50%,$             50.74,2.29,55.68,31.88,47.03,79%,10%,4.10%,7.17%,5.17%,-6.74%,11.86%,9.44,4.86%,-0.45%,,2021,2.52,1.51%,1/1/1991,1991,,24,6.38%,57,2058,2.15%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                        50.15,,,6/22/2015,,6/22/2015,,,,,4.56%,$              50.15,2.29,55.68,31.88,47.03,77%,11%,4.10%,7.17%,5.23%,-5.64%,13.18%,9.44,4.86%,-1.61%,,2022,2.57,1.98%,1/1/1992,1992,,25,6.48%,75,2133,2.82%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                       49.98,,,6/29/2015,,6/29/2015,,,,,4.57%,$             49.98,2.29,55.68,31.88,47.03,76%,11%,4.10%,7.17%,5.25%,-5.32%,13.57%,9.44,4.86%,-1.94%,,2023,2.62,1.94%,1/1/1993,1993,,26,6.58%,106,2239,3.99%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                       49.39,,,7/6/2015,,7/6/2015,,,,,4.63%,$             49.39,2.29,55.68,31.88,47.03,74%,13%,4.10%,7.17%,5.31%,-4.19%,14.92%,9.44,4.86%,-3.10%,,2024,2.67,1.91%,1/1/1994,1994,,27,6.68%,87,2326,3.28%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                         50.11,,,7/13/2015,,7/13/2015,,,,,4.56%,$               50.11,2.29,55.68,31.88,47.03,77%,11%,4.10%,7.17%,5.23%,-5.57%,13.27%,9.44,4.86%,-1.69%,,2025,2.71,1.40%,1/1/1995,1995,,28,6.78%,66,2392,2.49%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                       50.24,,,7/20/2015,,7/20/2015,,,,,4.55%,$             50.24,2.29,55.68,31.88,47.03,77%,11%,4.10%,7.17%,5.22%,-5.81%,12.98%,9.44,4.86%,-1.43%,,2026,2.81,3.78%,1/1/1996,1996,,29,6.88%,49,2441,1.85%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                       50.32,,,7/27/2015,,7/27/2015,,,,,4.54%,$             50.32,2.29,55.68,31.88,47.03,77%,11%,4.10%,7.17%,5.21%,-5.96%,12.80%,9.44,4.86%,-1.28%,,,,,1/1/1997,1997,,30,6.98%,47,2488,1.77%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                       50.94,,,8/3/2015,,8/3/2015,,,,,4.49%,$             50.94,2.29,55.68,31.88,47.03,80%,9%,4.10%,7.17%,5.15%,-7.11%,11.43%,9.44,4.86%,-0.06%,,,,,1/1/1998,1998,,31,7.08%,26,2514,0.98%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                       50.86,,,8/10/2015,,8/10/2015,,,,,4.49%,$             50.86,2.29,55.68,31.88,47.03,80%,9%,4.10%,7.17%,5.16%,-6.96%,11.60%,9.44,4.86%,-0.22%,,,,,1/1/1999,1999,,32,7.18%,15,2529,0.56%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                        51.07,,,8/17/2015,,8/17/2015,,,,,4.47%,$              51.07,2.29,55.68,31.88,47.03,81%,9%,4.10%,7.17%,5.14%,-7.34%,11.14%,9.44,4.86%,0.00%,,,,,1/1/2000,2000,,33,7.28%,21,2550,0.79%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                       50.63,,,8/24/2015,,8/24/2015,,,,,4.51%,$             50.63,2.29,55.68,31.88,47.03,79%,10%,4.10%,7.17%,5.18%,-6.54%,12.11%,9.44,4.86%,-0.86%,,,,,1/1/2001,2001,,34,7.38%,8,2558,0.30%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                       50.82,,,8/31/2015,,8/31/2015,,,,,4.50%,$             50.82,2.29,55.68,31.88,47.03,80%,10%,4.10%,7.17%,5.16%,-6.89%,11.69%,9.44,4.86%,-0.49%,,,,,1/1/2002,2002,,35,7.48%,12,2570,0.45%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,$                                                          51.11,,,9/8/2015,,9/8/2015,,,,,4.47%,$                51.11,2.29,55.68,31.88,47.03,81%,9%,4.10%,7.17%,5.13%,-7.42%,11.05%,9.44,4.86%,0.00%,,,,,1/1/2003,2003,,36,7.58%,8,2578,0.30%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,$                                                        51.02,,,9/14/2015,,9/14/2015,,,,,4.48%,$              51.02,2.29,55.68,31.88,47.03,80%,9%,4.10%,7.17%,5.14%,-7.25%,11.25%,9.44,4.86%,-0.18%,,,,,1/1/2004,2004,,37,7.68%,12,2590,0.45%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,$                                                       50.73,,,9/21/2015,,9/21/2015,,,,,4.50%,$             50.73,2.29,55.68,31.88,47.03,79%,10%,4.10%,7.17%,5.17%,-6.72%,11.89%,9.44,4.86%,-0.74%,,,,,1/1/2005,2005,,38,7.78%,15,2605,0.56%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,$                                                        51.46,,,9/28/2015,,9/28/2015,,,,,4.44%,$              51.46,2.29,55.68,31.88,47.03,82%,8%,4.10%,7.17%,5.10%,-8.05%,10.30%,9.44,4.86%,0.00%,,,,,1/1/2006,2006,,39,7.88%,13,2618,0.49%
