,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,WCN CN,Waste Connections Inc,,,,,,,,,,85%,8%,$    239.58,$        133.30,$         191.26,$           281.55,$        258.01,1.51%,0.55%,0.75%,3.18%,434.23%,440.84%,119%,,,,,,,NO,,,1.29%,0.52%,0.77%,0.01%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Waste Connections Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.07%,11/10/2017,,,,,,,,,,$         191.26,-20%,0.59%,$        258.01,$          87.88,$             44.85,$           61.25,0.51%,1.07%,0.74%,0.51%,-14.91%,-14.91%,-31%,,,,5Y CAGR,6.25%,,Waste Connections Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.74%,,Waste Connections Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Waste Connections Inc - Rating: 85% - Upside: 8%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       44.85,,,12/29/2014,,12/29/2014,,,,,1.51%,$             44.85,0.68,122.38,63.23,90.72,-31%,173%,0.55%,1.07%,3.18%,434.23%,440.84%,2.964601527,0.74%,0.00%,,1997,0.00,-,85,,,0,0.52%,54,54,2.04%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        48.13,,,1/5/2015,,1/5/2015,,,,,1.40%,$              48.13,0.68,122.38,63.23,90.72,-26%,154%,0.55%,1.07%,2.96%,397.80%,403.96%,2.964601527,0.74%,0.00%,,1998,0.00,,8,,,1,0.53%,27,81,1.02%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       48.50,,,1/12/2015,,1/12/2015,,,,,1.39%,$             48.50,0.68,122.38,63.23,90.72,-25%,152%,0.55%,1.07%,2.94%,393.97%,400.08%,2.964601527,0.74%,0.00%,,1999,0.00,,,,,2,0.54%,28,109,1.06%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        48.21,,,1/19/2015,,1/20/2015,,,,,1.40%,$              48.21,0.68,122.38,63.23,90.72,-25%,154%,0.55%,1.07%,2.95%,396.94%,403.09%,2.964601527,0.74%,-0.60%,,2000,0.00,,1/1/1970,1970,,3,0.55%,41,150,1.55%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        49.01,,,1/26/2015,,1/26/2015,,,,,1.38%,$              49.01,0.68,122.38,63.23,90.72,-24%,150%,0.55%,1.07%,2.91%,388.80%,394.85%,2.964601527,0.74%,0.00%,,2001,0.00,,1/1/1971,1971,,4,0.56%,54,204,2.04%
