,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,WDC US,Western Digital Corp,,,,,,,,,,,,$    497.92,$             8.80,$        301.60,$          746.23,$                   -,7.55%,0.00%,1.91%,0.00%,2157.48%,2157.48%,,,,,,,,NO,,,7.16%,0.00%,7.16%,0.10%,72
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,,,Western Digital Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.68%,11/10/2017,,,,,,,,,,$          75.40,-85%,0.10%,,$                   -,$             22.06,$                   -,0.00%,5.68%,0.66%,0.00%,-33.28%,-33.28%,,,,,5Y CAGR,,,Western Digital Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-12.94%,,Western Digital Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       45.64,,,12/29/2014,,12/29/2014,,,,,4.38%,$             45.64,2.00,,35.21,301.60,,,0.00%,5.68%,0.00%,990.99%,1007.42%,7.5,0.66%,0.00%,,1997,0.00,-,,,,0,0.00%,1044,1044,39.32%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       45.44,,,1/5/2015,,1/5/2015,,,,,4.40%,$             45.44,2.00,,35.21,301.60,,,0.00%,5.68%,0.00%,995.70%,1012.21%,7.5,0.66%,-0.43%,,1998,0.00,,,,,1,0.10%,110,1154,4.14%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       44.43,,,1/12/2015,,1/12/2015,,,,,4.50%,$             44.43,2.00,,35.21,301.60,,,0.00%,5.68%,0.00%,1020.67%,1037.55%,7.5,0.66%,-2.65%,,1999,0.00,,,,,2,0.20%,61,1215,2.30%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       43.70,,,1/20/2015,,1/20/2015,,,,,4.58%,$             43.70,2.00,,35.21,301.60,,,0.00%,5.68%,0.00%,1039.47%,1056.63%,7.5,0.66%,-4.25%,,2000,0.00,,1/1/1970,1970,,3,0.30%,17,1232,0.64%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        41.85,,,1/26/2015,,1/26/2015,,,,,4.78%,$              41.85,2.00,,35.21,301.60,,,0.00%,5.68%,0.00%,1089.66%,1107.58%,7.5,0.66%,-8.29%,,2001,0.00,,1/1/1971,1971,,4,0.40%,39,1271,1.47%
