,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,WDP BB,Warehouses De Pauw CVA,,,,,,,,,,11%,96%,$       22.64,$          20.04,$          25.56,$              42.18,$          44.30,5.76%,2.26%,3.80%,10.08%,128.19%,153.47%,135%,,,,,,,NO,,,5.52%,1.96%,3.56%,0.05%,71
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Warehouses De Pauw CVA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.99%,11/10/2017,,,,,,,,,,$          25.56,13%,4.42%,$          44.30,$           14.60,$                9.92,$            11.45,1.90%,4.99%,3.91%,2.37%,-46.33%,-46.33%,-11%,,,,5Y CAGR,4.56%,,Warehouses De Pauw CVA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.76%,,Warehouses De Pauw CVA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Warehouses De Pauw CVA - Rating: 11% - Upside: 96%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                          11.14,,,12/29/2014,,12/29/2014,,,,,5.13%,€                  11.14,0.57,25.31,11.45,14.60,-2%,127%,2.26%,4.99%,8.97%,103.15%,125.66%,2.508571429,3.91%,0.00%,,1997,0.00,-,11,,,0,1.96%,30,30,1.11%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                           11.27,,,1/5/2015,,1/5/2015,,,,,5.07%,€                 11.27,0.57,25.31,11.45,14.60,-1%,125%,2.26%,4.99%,8.87%,100.86%,123.11%,2.508571429,3.91%,0.00%,,1998,0.00,,96,,,1,2.01%,10,40,0.37%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                           11.28,,,1/12/2015,,1/12/2015,,,,,5.07%,€                 11.28,0.57,25.31,11.45,14.60,-1%,124%,2.26%,4.99%,8.87%,100.76%,123.00%,2.508571429,3.91%,0.00%,,1999,0.00,,,,,2,2.06%,24,64,0.89%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                          10.82,,,1/19/2015,,1/20/2015,,,,,5.28%,€                10.82,0.57,25.31,11.45,14.60,-5%,134%,2.26%,4.99%,9.25%,109.32%,132.51%,2.508571429,3.91%,-4.09%,,2000,0.00,,1/1/1970,1970,,3,2.11%,24,88,0.89%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          10.76,,,1/26/2015,,1/26/2015,,,,,5.31%,€                10.76,0.57,25.31,11.45,14.60,-5%,135%,2.26%,4.99%,9.30%,110.46%,133.78%,2.508571429,3.91%,-4.61%,,2001,0.00,,1/1/1971,1971,,4,2.16%,17,105,0.63%
