,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,WFC US,Wells Fargo,,,,,,,,,,,,$       87.27,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Wells Fargo - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,16.72%,,Wells Fargo - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-1.52%,,Wells Fargo - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        52.91,,,12/29/2014,,12/29/2014,,,,,2.86%,$              52.91,1.52,,,,,,,,2.46%,,,6.615,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       52.89,,,1/5/2015,,1/5/2015,,,,,2.86%,$             52.89,1.52,,,,,,,,2.46%,,,6.615,,-0.04%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        51.88,,,1/12/2015,,1/12/2015,,,,,2.92%,$              51.88,1.52,,,,,,,,2.51%,,,6.615,,-1.95%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       50.40,,,1/20/2015,,1/20/2015,,,,,3.01%,$             50.40,1.52,,,,,,,,2.58%,,,6.615,,-4.74%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       49.56,,,1/26/2015,,1/26/2015,,,,,3.06%,$             49.56,1.52,,,,,,,,2.62%,,,6.615,,-6.33%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       50.09,,,2/2/2015,,2/2/2015,,,,,3.02%,$             50.09,1.52,,,,,,,,2.60%,,,6.615,,-5.33%,,2002,0.55,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        51.36,,,2/9/2015,,2/9/2015,,,,,2.95%,$              51.36,1.52,,,,,,,,2.53%,,,6.615,,-2.93%,,2003,0.75,36.36%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       49.73,,,2/17/2015,,2/17/2015,,,,,3.05%,$             49.73,1.52,,,,,,,,2.61%,,,6.615,,-6.01%,,2004,0.93,24.00%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       50.64,,,2/23/2015,,2/23/2015,,,,,2.99%,$             50.64,1.52,,,,,,,,2.57%,,,6.615,,-4.29%,,2005,1.00,7.53%,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       48.82,,,3/2/2015,,3/2/2015,,,,,3.10%,$             48.82,1.52,,,,,,,,2.66%,,,6.615,,-7.73%,,2006,1.08,8.00%,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        48.21,,,3/9/2015,,3/9/2015,,,,,3.14%,$              48.21,1.52,,,,,,,,2.70%,,,6.615,,-8.88%,,2007,1.18,9.26%,1/1/1977,1977,,10,,,,
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       47.87,,,3/16/2015,,3/16/2015,,,,,3.16%,$             47.87,1.52,,,,,,,,2.72%,,,6.615,,-9.53%,,2008,1.30,10.17%,1/1/1978,1978,,11,,,,
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        48.01,,,3/23/2015,,3/23/2015,,,,,3.16%,$              48.01,1.52,,,,,,,,2.71%,,,6.615,,-9.26%,,2009,0.49,-62.31%,1/1/1979,1979,,12,,,,
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       49.02,,,3/30/2015,,3/30/2015,,,,,3.09%,$             49.02,1.52,,,,,,,,2.65%,,,6.615,,-7.35%,,2010,0.20,-59.18%,1/1/1980,1980,,13,,,,
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       47.66,,,4/6/2015,,4/6/2015,,,,,3.18%,$             47.66,1.52,,,,,,,,2.73%,,,6.615,,-9.92%,,2011,0.41,105.00%,1/1/1981,1981,,14,,,,
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       48.26,,,4/13/2015,,4/13/2015,,,,,3.14%,$             48.26,1.52,,,,,,,,2.69%,,,6.615,,-8.79%,,2012,0.78,90.24%,1/1/1982,1982,,15,,,,
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       48.57,,,4/20/2015,,4/20/2015,,,,,3.12%,$             48.57,1.52,,,,,,,,2.68%,,,6.615,,-8.20%,,2013,1.15,47.44%,1/1/1983,1983,,16,,,,
