,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,WKBN SW,Walliser Kantonalbank,,,,,,,,,,,,$     160.50,$        100.39,$         114.50,$           162.50,$                   -,3.65%,0.00%,2.78%,4.80%,116.89%,129.32%,,,,,,,,NO,,,3.59%,0.00%,3.59%,0.05%,72
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Walliser Kantonalbank - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.54%,11/10/2017,,,,,,,,,,$         114.50,-29%,2.21%,,$                   -,$             74.00,$                   -,0.00%,3.54%,3.10%,2.18%,-1.23%,-1.23%,,,,,5Y CAGR,1.17%,,Walliser Kantonalbank - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.77%,,Walliser Kantonalbank - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       82.80,,,12/29/2014,,12/29/2014,,,,,3.26%,82.80 CHF,2.70,,76.35,87.08,,,0.00%,3.54%,4.29%,93.84%,104.95%,9.2,3.10%,0.00%,,1997,0.00,-,,,,0,0.00%,251,251,9.47%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,82.75 CHF,,,1/5/2015,,1/5/2015,,,,,3.26%,82.75 CHF,2.70,,76.35,87.08,,,0.00%,3.54%,4.29%,93.96%,105.08%,9.2,3.10%,-0.06%,,1998,0.00,,,,,1,0.05%,0,251,0.00%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,82.25 CHF,,,1/12/2015,,1/12/2015,,,,,3.28%,82.25 CHF,2.70,,76.35,87.08,,,0.00%,3.54%,4.32%,95.14%,106.32%,9.2,3.10%,-0.66%,,1999,0.00,,,,,2,0.10%,0,251,0.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,82.80 CHF,,,1/19/2015,,1/20/2015,,,,,3.26%,82.80 CHF,2.70,,76.35,87.08,,,0.00%,3.54%,4.29%,93.84%,104.95%,9.2,3.10%,0.00%,,2000,0.00,,1/1/1970,1970,,3,0.15%,0,251,0.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,82.15 CHF,,,1/26/2015,,1/26/2015,,,,,3.29%,82.15 CHF,2.70,,76.35,87.08,,,0.00%,3.54%,4.32%,95.37%,106.57%,9.2,3.10%,-0.79%,,2001,0.00,,1/1/1971,1971,,4,0.20%,0,251,0.00%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,82.75 CHF,,,2/2/2015,,2/2/2015,,,,,3.26%,82.75 CHF,2.70,,76.35,87.08,,,0.00%,3.54%,4.29%,93.96%,105.08%,9.2,3.10%,-0.06%,,2002,1.00,,1/1/1972,1972,,5,0.25%,0,251,0.00%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,82.65 CHF,,,2/9/2015,,2/9/2015,,,,,3.27%,82.65 CHF,2.70,,76.35,87.08,,,0.00%,3.54%,4.30%,94.19%,105.32%,9.2,3.10%,-0.18%,,2003,1.20,20.00%,1/1/1973,1973,,6,0.30%,0,251,0.00%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,83.20 CHF,,,2/16/2015,,2/17/2015,,,,,3.25%,83.20 CHF,2.70,,76.35,87.08,,,0.00%,3.54%,4.27%,92.91%,103.97%,9.2,3.10%,0.00%,,2004,1.25,4.17%,1/1/1974,1974,,7,0.35%,0,251,0.00%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,83.20 CHF,,,2/23/2015,,2/23/2015,,,,,3.25%,83.20 CHF,2.70,,76.35,87.08,,,0.00%,3.54%,4.27%,92.91%,103.97%,9.2,3.10%,0.00%,,2005,1.30,4.00%,1/1/1975,1975,,8,0.40%,0,251,0.00%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,82.70 CHF,,,3/2/2015,,3/2/2015,,,,,3.26%,82.70 CHF,2.70,,76.35,87.08,,,0.00%,3.54%,4.29%,94.07%,105.20%,9.2,3.10%,-0.60%,,2006,1.38,5.77%,1/1/1976,1976,,9,0.45%,0,251,0.00%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,78.70 CHF,,,3/9/2015,,3/9/2015,,,,,3.43%,78.70 CHF,2.70,,76.35,87.08,,,0.00%,3.54%,4.51%,103.94%,115.63%,9.2,3.10%,-5.41%,,2007,1.50,9.09%,1/1/1977,1977,,10,0.50%,0,251,0.00%
