,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,WMT US,Walmart,,,,,,,,,,78%,13%,$       111.74,$          59.45,$          89.25,$           134.20,$        126.20,1.66%,0.74%,1.15%,3.75%,450.99%,450.99%,,,,,,,,NO,,,1.65%,0.71%,0.94%,0.02%,47
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,7.34%,,Walmart - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.58%,11/10/2017,,,,,,,,,,$          89.25,-20%,0.84%,$        126.20,$           72.16,$             20.28,$          48.07,0.70%,1.58%,1.05%,0.57%,-16.74%,-16.74%,,,,,5Y CAGR,,,Walmart - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,Walmart - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Walmart - Rating: 78% - Upside: 13%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       20.49,,,12/29/2014,,12/29/2014,,,,,,$             20.49,#N/A Connection,,,,,,0.74%,1.58%,3.71%,445.43%,445.43%,0,1.05%,0.00%,,1997,#N/A Connection,-,78,,,0,0.71%,17,17,1.90%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       20.97,,,1/5/2015,,1/5/2015,,,,,,$             20.97,#N/A Connection,,,,,,0.74%,1.58%,3.62%,432.78%,432.78%,0,1.05%,0.00%,,1998,#N/A Connection,,13,,,1,0.73%,26,43,2.91%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                         21.18,,,1/12/2015,,1/12/2015,,,,,,$               21.18,#N/A Connection,,,,,,0.74%,1.58%,3.59%,427.50%,427.50%,0,1.05%,0.00%,,1999,#N/A Connection,,,,,2,0.75%,22,65,2.46%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        21.68,,,1/20/2015,,1/20/2015,,,,,,$              21.68,#N/A Connection,,,,,,0.74%,1.58%,3.51%,415.49%,415.49%,0,1.05%,0.00%,,2000,#N/A Connection,,1/1/1970,1970,,3,0.77%,18,83,2.02%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                         21.18,,,1/26/2015,,1/26/2015,,,,,,$               21.18,#N/A Connection,,,,,,0.74%,1.58%,3.59%,427.58%,427.58%,0,1.05%,-2.29%,,2001,#N/A Connection,,1/1/1971,1971,,4,0.79%,25,108,2.80%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                         21.41,,,2/2/2015,,2/2/2015,,,,,,$               21.41,#N/A Connection,,,,,,0.74%,1.58%,3.55%,421.99%,421.99%,0,1.05%,-1.25%,,2002,#N/A Connection,,1/1/1972,1972,,5,0.81%,21,129,2.35%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                         21.21,,,2/9/2015,,2/9/2015,,,,,,$               21.21,#N/A Connection,,,,,,0.74%,1.58%,3.58%,426.91%,426.91%,0,1.05%,-2.17%,,2003,#N/A Connection,,1/1/1973,1973,,6,0.83%,23,152,2.58%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       20.64,,,2/17/2015,,2/17/2015,,,,,,$             20.64,#N/A Connection,,,,,,0.74%,1.58%,3.68%,441.38%,441.38%,0,1.05%,-4.78%,,2004,#N/A Connection,,1/1/1974,1974,,7,0.85%,10,162,1.12%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        21.02,,,2/23/2015,,2/23/2015,,,,,,$              21.02,#N/A Connection,,,,,,0.74%,1.58%,3.62%,431.59%,431.59%,0,1.05%,-3.03%,,2005,#N/A Connection,,1/1/1975,1975,,8,0.87%,20,182,2.24%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       20.64,,,3/2/2015,,3/2/2015,,,,,,$             20.64,#N/A Connection,,,,,,0.74%,1.58%,3.68%,441.29%,441.29%,0,1.05%,-4.77%,,2006,#N/A Connection,,1/1/1976,1976,,9,0.89%,22,204,2.46%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       20.85,,,3/9/2015,,3/9/2015,,,,,,$             20.85,#N/A Connection,,,,,,0.74%,1.58%,3.64%,435.84%,435.84%,0,1.05%,-3.80%,,2007,#N/A Connection,,1/1/1977,1977,,10,0.91%,51,255,5.71%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       20.28,,,3/16/2015,,3/16/2015,,,,,,$             20.28,#N/A Connection,,,,,,0.74%,1.58%,3.75%,450.99%,450.99%,0,1.05%,-6.44%,,2008,#N/A Connection,,1/1/1978,1978,,11,0.93%,23,278,2.58%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       20.63,,,3/23/2015,,3/23/2015,,,,,,$             20.63,#N/A Connection,,,,,,0.74%,1.58%,3.68%,441.73%,441.73%,0,1.05%,-4.84%,,2009,#N/A Connection,,1/1/1979,1979,,12,0.95%,43,321,4.82%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       20.90,,,3/30/2015,,3/30/2015,,,,,,$             20.90,#N/A Connection,,,,,,0.74%,1.58%,3.64%,434.73%,434.73%,0,1.05%,-3.60%,,2010,#N/A Connection,,1/1/1980,1980,,13,0.97%,38,359,4.26%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                         21.15,,,4/6/2015,,4/6/2015,,,,,,$               21.15,#N/A Connection,,,,,,0.74%,1.58%,3.59%,428.33%,428.33%,0,1.05%,-2.43%,,2011,#N/A Connection,,1/1/1981,1981,,14,0.99%,30,389,3.36%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                        21.33,,,4/13/2015,,4/13/2015,,,,,,$              21.33,#N/A Connection,,,,,,0.74%,1.58%,3.56%,423.79%,423.79%,0,1.05%,-1.58%,,2012,#N/A Connection,,1/1/1982,1982,,15,1.01%,23,412,2.58%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        21.32,,,4/20/2015,,4/20/2015,,,,,,$              21.32,#N/A Connection,,,,,,0.74%,1.58%,3.57%,424.19%,424.19%,0,1.05%,-1.66%,,2013,#N/A Connection,,1/1/1983,1983,,16,1.03%,24,436,2.69%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                         21.41,,,4/27/2015,,4/27/2015,,,,,,$               21.41,#N/A Connection,,,,,,0.74%,1.58%,3.55%,421.99%,421.99%,0,1.05%,-1.25%,,2014,#N/A Connection,,1/1/1984,1984,,17,1.05%,10,446,1.12%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                        22.12,,,5/4/2015,,5/4/2015,,,,,,$              22.12,#N/A Connection,,,,,,0.74%,1.58%,3.44%,405.16%,405.16%,0,1.05%,0.00%,,2015,#N/A Connection,,1/1/1985,1985,,18,1.07%,13,459,1.46%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       22.50,,,5/11/2015,,5/11/2015,,,,,,$             22.50,#N/A Connection,,,,,,0.74%,1.58%,3.38%,396.63%,396.63%,0,1.05%,0.00%,,2016,#N/A Connection,,1/1/1986,1986,,19,1.09%,15,474,1.68%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       22.29,,,5/18/2015,,5/18/2015,,,,,,$             22.29,#N/A Connection,,,,,,0.74%,1.58%,3.41%,401.38%,401.38%,0,1.05%,-0.95%,,2017,#N/A Connection,,1/1/1987,1987,,20,1.11%,5,479,0.56%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       22.09,,,5/26/2015,,5/26/2015,,,,,,$             22.09,#N/A Connection,,,,,,0.74%,1.58%,3.44%,405.84%,405.84%,0,1.05%,-1.82%,,2018,#N/A Connection,,1/1/1988,1988,,21,1.13%,3,482,0.34%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                        22.14,,,6/1/2015,,6/1/2015,,,,,,$              22.14,#N/A Connection,,,,,,0.74%,1.58%,3.43%,404.70%,404.70%,0,1.05%,-1.60%,,2019,#N/A Connection,,1/1/1989,1989,,22,1.15%,1,483,0.11%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       22.33,,,6/8/2015,,6/8/2015,,,,,,$             22.33,#N/A Connection,,,,,,0.74%,1.58%,3.40%,400.33%,400.33%,0,1.05%,-0.74%,,2020,#N/A Connection,,1/1/1990,1990,,23,1.17%,10,493,1.12%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       22.30,,,6/15/2015,,6/15/2015,,,,,,$             22.30,#N/A Connection,,,,,,0.74%,1.58%,3.41%,401.08%,401.08%,0,1.05%,-0.89%,,2021,#N/A Connection,,1/1/1991,1991,,24,1.19%,10,503,1.12%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                        21.94,,,6/22/2015,,6/22/2015,,,,,,$              21.94,#N/A Connection,,,,,,0.74%,1.58%,3.46%,409.38%,409.38%,0,1.05%,-2.50%,,2022,#N/A Connection,,1/1/1992,1992,,25,1.21%,15,518,1.68%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                        21.93,,,6/29/2015,,6/29/2015,,,,,,$              21.93,#N/A Connection,,,,,,0.74%,1.58%,3.47%,409.53%,409.53%,0,1.05%,-2.53%,,2023,0.76,,1/1/1993,1993,,26,1.23%,13,531,1.46%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                        21.77,,,7/6/2015,,7/6/2015,,,,,,$              21.77,#N/A Connection,,,,,,0.74%,1.58%,3.49%,413.20%,413.20%,0,1.05%,-3.23%,,2024,0.83,9.21%,1/1/1994,1994,,27,1.25%,4,535,0.45%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                       22.06,,,7/13/2015,,7/13/2015,,,,,,$             22.06,#N/A Connection,,,,,,0.74%,1.58%,3.45%,406.53%,406.53%,0,1.05%,-1.96%,,2025,0.94,13.25%,1/1/1995,1995,,28,1.27%,8,543,0.90%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                        21.97,,,7/20/2015,,7/20/2015,,,,,,$              21.97,#N/A Connection,,,,,,0.74%,1.58%,3.46%,408.69%,408.69%,0,1.05%,-2.37%,,2026,0.94,0.00%,1/1/1996,1996,,29,1.29%,2,545,0.22%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                       22.04,,,7/27/2015,,7/27/2015,,,,,,$             22.04,#N/A Connection,,,,,,0.74%,1.58%,3.45%,407.07%,407.07%,0,1.05%,-2.06%,,,,,1/1/1997,1997,,30,1.31%,0,545,0.00%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                        21.37,,,8/3/2015,,8/3/2015,,,,,,$              21.37,#N/A Connection,,,,,,0.74%,1.58%,3.56%,422.81%,422.81%,0,1.05%,-5.01%,,,,,1/1/1998,1998,,31,1.33%,1,546,0.11%
