,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,WPC US,WP Carey,,,,,,,,,,80%,7%,$        76.21,$          55.73,$          69.66,$              91.49,$          85.00,9.70%,4.99%,6.09%,9.47%,77.49%,81.78%,133%,,,,,,,NO,,,7.87%,4.62%,3.25%,0.05%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,WP Carey - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.30%,11/10/2017,,,,,,,,,,$          66.79,-12%,5.34%,$           81.49,$            64.11,$             42.94,$          53.49,4.52%,7.30%,6.09%,4.45%,-16.70%,-12.83%,-54%,,,,5Y CAGR,-0.63%,,WP Carey - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,0.41%,,WP Carey - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,WP Carey - Rating: 80% - Upside: 7%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       57.72,,,12/29/2014,,12/29/2014,,,,,6.76%,$             57.72,3.90,78.22,53.49,64.11,17%,36%,4.99%,7.30%,7.05%,32.03%,59.92%,16.0958,6.09%,0.00%,,1997,0.00,-,80,,,0,4.62%,11,11,0.41%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        58.71,,,1/5/2015,,1/5/2015,,,,,6.65%,$              58.71,3.90,78.22,53.49,64.11,21%,33%,4.99%,7.30%,6.93%,29.81%,57.22%,16.0958,6.09%,0.00%,,1998,1.65,,7,,,1,4.67%,11,22,0.41%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       59.27,,,1/12/2015,,1/12/2015,,,,,6.59%,$             59.27,3.90,78.22,53.49,64.11,23%,32%,4.99%,7.30%,6.86%,28.59%,55.74%,16.0958,6.09%,0.00%,,1999,1.67,1.21%,,,,2,4.72%,10,32,0.38%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       57.93,,,1/20/2015,,1/20/2015,,,,,6.74%,$             57.93,3.90,78.22,53.49,64.11,18%,35%,4.99%,7.30%,7.02%,31.56%,59.35%,16.0958,6.09%,-2.26%,,2000,1.69,1.20%,1/1/1970,1970,,3,4.77%,13,45,0.49%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        56.91,,,1/26/2015,,1/26/2015,,,,,6.86%,$              56.91,3.90,78.22,53.49,64.11,14%,37%,4.99%,7.30%,7.15%,33.92%,62.20%,16.0958,6.09%,-3.98%,,2001,1.70,0.62%,1/1/1971,1971,,4,4.82%,9,54,0.34%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       56.80,,,2/2/2015,,2/2/2015,,,,,6.87%,$             56.80,3.90,78.22,53.49,64.11,13%,38%,4.99%,7.30%,7.16%,34.17%,62.51%,16.0958,6.09%,-4.16%,,2002,1.72,1.03%,1/1/1972,1972,,5,4.87%,21,75,0.79%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       56.45,,,2/9/2015,,2/9/2015,,,,,6.92%,$             56.45,3.90,78.22,53.49,64.11,12%,39%,4.99%,7.30%,7.20%,35.01%,63.52%,16.0958,6.09%,-4.76%,,2003,1.73,0.93%,1/1/1973,1973,,6,4.92%,28,103,1.05%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       55.44,,,2/17/2015,,2/17/2015,,,,,7.04%,$             55.44,3.90,78.22,53.49,64.11,8%,41%,4.99%,7.30%,7.34%,37.46%,66.50%,16.0958,6.09%,-6.46%,,2004,1.76,1.27%,1/1/1974,1974,,7,4.97%,37,140,1.39%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       55.64,,,2/23/2015,,2/23/2015,,,,,7.02%,$             55.64,3.90,78.22,53.49,64.11,9%,41%,4.99%,7.30%,7.31%,36.98%,65.91%,16.0958,6.09%,-6.13%,,2005,1.79,1.82%,1/1/1975,1975,,8,5.02%,48,188,1.81%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       55.35,,,3/2/2015,,3/2/2015,,,,,7.05%,$             55.35,3.90,78.22,53.49,64.11,8%,41%,4.99%,7.30%,7.35%,37.68%,66.76%,16.0958,6.09%,-6.61%,,2006,1.82,1.79%,1/1/1976,1976,,9,5.07%,30,218,1.13%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       55.29,,,3/9/2015,,3/9/2015,,,,,7.06%,$             55.29,3.90,78.22,53.49,64.11,7%,41%,4.99%,7.30%,7.36%,37.83%,66.94%,16.0958,6.09%,-6.71%,,2007,1.88,3.19%,1/1/1977,1977,,10,5.12%,28,246,1.05%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       53.83,,,3/16/2015,,3/16/2015,,,,,7.25%,$             53.83,3.90,78.22,53.49,64.11,1%,45%,4.99%,7.30%,7.55%,41.56%,71.46%,16.0958,6.09%,-9.17%,,2008,1.96,4.10%,1/1/1978,1978,,11,5.17%,30,276,1.13%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       53.98,,,3/23/2015,,3/23/2015,,,,,7.23%,$             53.98,3.90,78.22,53.49,64.11,2%,45%,4.99%,7.30%,7.53%,41.18%,71.00%,16.0958,6.09%,-8.92%,,2009,2.00,2.10%,1/1/1979,1979,,12,5.22%,31,307,1.17%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       55.86,,,3/30/2015,,3/30/2015,,,,,6.99%,$             55.86,3.90,78.22,53.49,64.11,10%,40%,4.99%,7.30%,7.28%,36.43%,65.24%,16.0958,6.09%,-5.75%,,2010,2.02,1.20%,1/1/1980,1980,,13,5.27%,37,344,1.39%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        55.15,,,4/6/2015,,4/6/2015,,,,,7.08%,$              55.15,3.90,78.22,53.49,64.11,7%,42%,4.99%,7.30%,7.37%,38.20%,67.38%,16.0958,6.09%,-6.95%,,2011,2.13,5.54%,1/1/1981,1981,,14,5.32%,50,394,1.88%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       56.93,,,4/13/2015,,4/13/2015,,,,,6.86%,$             56.93,3.90,78.22,53.49,64.11,14%,37%,4.99%,7.30%,7.14%,33.87%,62.14%,16.0958,6.09%,-3.95%,,2012,2.35,9.99%,1/1/1982,1982,,15,5.37%,61,455,2.30%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        55.61,,,4/20/2015,,4/20/2015,,,,,7.02%,$              55.61,3.90,78.22,53.49,64.11,9%,41%,4.99%,7.30%,7.31%,37.05%,66.00%,16.0958,6.09%,-6.18%,,2013,3.18,35.61%,1/1/1983,1983,,16,5.42%,63,518,2.37%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       55.77,,,4/27/2015,,4/27/2015,,,,,7.00%,$             55.77,3.90,78.22,53.49,64.11,9%,40%,4.99%,7.30%,7.29%,36.64%,65.50%,16.0958,6.09%,-5.90%,,2014,3.61,13.36%,1/1/1984,1984,,17,5.47%,70,588,2.64%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       57.03,,,5/4/2015,,5/4/2015,,,,,6.85%,$             57.03,3.90,78.22,53.49,64.11,14%,37%,4.99%,7.30%,7.13%,33.64%,61.87%,16.0958,6.09%,-3.78%,,2015,3.81,5.73%,1/1/1985,1985,,18,5.52%,59,647,2.22%
