,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,WTRG US,Essential Utilities Inc,,,,,,,,,,16%,46%,$       39.54,$           36.17,$          48.66,$             54.07,$          57.83,3.65%,2.05%,2.57%,4.14%,37.91%,49.37%,139%,,,,,,,NO,,,3.56%,1.83%,1.73%,0.03%,58
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Essential Utilities Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.29%,11/10/2017,,,,,,,,,,$          48.66,23%,3.01%,$          57.83,$          30.25,$             28.67,$          22.48,1.79%,3.29%,2.44%,2.20%,-26.87%,-26.87%,-17%,,,,5Y CAGR,2.74%,,Essential Utilities Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.87%,,Essential Utilities Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Essential Utilities Inc - Rating: 16% - Upside: 46%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       29.47,,,12/29/2014,,12/29/2014,,,,,2.51%,$             29.47,0.74,35.95,22.48,30.25,52%,22%,2.05%,3.29%,4.03%,34.17%,45.32%,3.2846,2.44%,0.00%,,1997,0.00,-,16,,,0,1.83%,3,3,0.11%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       29.65,,,1/5/2015,,1/5/2015,,,,,2.49%,$             29.65,0.74,35.95,22.48,30.25,53%,21%,2.05%,3.29%,4.01%,33.36%,44.43%,3.2846,2.44%,0.00%,,1998,0.00,,46,,,1,1.86%,7,10,0.26%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       29.68,,,1/12/2015,,1/12/2015,,,,,2.49%,$             29.68,0.74,35.95,22.48,30.25,53%,21%,2.05%,3.29%,4.00%,33.22%,44.29%,3.2846,2.44%,0.00%,,1999,0.00,,,,,2,1.89%,2,12,0.08%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       29.06,,,1/20/2015,,1/20/2015,,,,,2.54%,$             29.06,0.74,35.95,22.48,30.25,49%,24%,2.05%,3.29%,4.09%,36.06%,47.37%,3.2846,2.44%,-2.09%,,2000,0.00,,1/1/1970,1970,,3,1.92%,10,22,0.38%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       29.23,,,1/26/2015,,1/26/2015,,,,,2.53%,$             29.23,0.74,35.95,22.48,30.25,50%,23%,2.05%,3.29%,4.07%,35.27%,46.51%,3.2846,2.44%,-1.52%,,2001,0.00,,1/1/1971,1971,,4,1.95%,14,36,0.53%
