,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,YORW US,York Water Co/The,,,,,,,,,,0%,72%,$       30.94,$           31.02,$            41.15,$             53.39,$          53.23,2.82%,1.54%,2.02%,3.34%,26.13%,36.92%,120%,,,,,,,NO,,,2.78%,1.46%,1.32%,0.02%,66
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,York Water Co/The - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.64%,11/10/2017,,,,,,,,,,$            41.15,33%,2.65%,$          53.23,$           31.49,$             24.53,$          23.74,1.42%,2.64%,1.99%,1.53%,-42.05%,-42.05%,-9%,,,,5Y CAGR,1.58%,,York Water Co/The - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.71%,,York Water Co/The - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,York Water Co/The - Rating: 0% - Upside: 72%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       24.76,,,12/29/2014,,12/29/2014,,,,,2.53%,$             24.76,0.63,40.74,23.74,31.49,6%,65%,1.54%,2.64%,3.31%,24.96%,35.65%,2.6471,1.99%,0.00%,,1997,0.00,-,0,,,0,1.46%,21,21,0.79%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       24.84,,,1/5/2015,,1/5/2015,,,,,2.52%,$             24.84,0.63,40.74,23.74,31.49,6%,64%,1.54%,2.64%,3.30%,24.56%,35.21%,2.6471,1.99%,0.00%,,1998,0.00,,72,,,1,1.48%,32,53,1.21%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       24.99,,,1/12/2015,,1/12/2015,,,,,2.51%,$             24.99,0.63,40.74,23.74,31.49,7%,63%,1.54%,2.64%,3.28%,23.81%,34.40%,2.6471,1.99%,0.00%,,1999,0.00,,,,,2,1.50%,35,88,1.32%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       24.62,,,1/20/2015,,1/20/2015,,,,,2.55%,$             24.62,0.63,40.74,23.74,31.49,5%,65%,1.54%,2.64%,3.33%,25.67%,36.42%,2.6471,1.99%,-1.48%,,2000,0.00,,1/1/1970,1970,,3,1.52%,38,126,1.43%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       24.69,,,1/26/2015,,1/26/2015,,,,,2.54%,$             24.69,0.63,40.74,23.74,31.49,6%,65%,1.54%,2.64%,3.32%,25.31%,36.04%,2.6471,1.99%,-1.20%,,2001,0.00,,1/1/1971,1971,,4,1.54%,51,177,1.92%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       24.80,,,2/2/2015,,2/2/2015,,,,,2.53%,$             24.80,0.63,40.74,23.74,31.49,6%,64%,1.54%,2.64%,3.30%,24.76%,35.43%,2.6471,1.99%,-0.76%,,2002,0.35,,1/1/1972,1972,,5,1.56%,62,239,2.34%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       24.89,,,2/9/2015,,2/9/2015,,,,,2.52%,$             24.89,0.63,40.74,23.74,31.49,7%,64%,1.54%,2.64%,3.29%,24.31%,34.94%,2.6471,1.99%,-0.40%,,2003,0.37,4.76%,1/1/1973,1973,,6,1.58%,61,300,2.30%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       24.58,,,2/17/2015,,2/17/2015,,,,,2.55%,$             24.58,0.63,40.74,23.74,31.49,5%,66%,1.54%,2.64%,3.33%,25.87%,36.64%,2.6471,1.99%,-1.64%,,2004,0.39,7.45%,1/1/1974,1974,,7,1.60%,51,351,1.92%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       24.77,,,2/23/2015,,2/23/2015,,,,,2.53%,$             24.77,0.63,40.74,23.74,31.49,6%,64%,1.54%,2.64%,3.31%,24.91%,35.60%,2.6471,1.99%,-0.88%,,2005,0.42,7.61%,1/1/1975,1975,,8,1.62%,45,396,1.70%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       24.53,,,3/2/2015,,3/2/2015,,,,,2.55%,$             24.53,0.63,40.74,23.74,31.49,5%,66%,1.54%,2.64%,3.34%,26.13%,36.92%,2.6471,1.99%,-1.84%,,2006,0.45,7.08%,1/1/1976,1976,,9,1.64%,43,439,1.62%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       24.85,,,3/9/2015,,3/9/2015,,,,,2.52%,$             24.85,0.63,40.74,23.74,31.49,7%,64%,1.54%,2.64%,3.30%,24.51%,35.16%,2.6471,1.99%,-0.56%,,2007,0.48,4.63%,1/1/1977,1977,,10,1.66%,40,479,1.51%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       24.83,,,3/16/2015,,3/16/2015,,,,,2.52%,$             24.83,0.63,40.74,23.74,31.49,6%,64%,1.54%,2.64%,3.30%,24.61%,35.27%,2.6471,1.99%,-0.64%,,2008,0.48,1.89%,1/1/1978,1978,,11,1.68%,44,523,1.66%
