,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,YUM US,Yum! Brands Inc,,,,,,,,,,84%,9%,$     147.80,$          77.62,$        136.57,$            168.16,$         161.57,4.03%,1.50%,1.90%,5.16%,215.06%,228.30%,112%,,,,,,,NO,,,3.81%,1.44%,2.37%,0.03%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Yum! Brands Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.12%,11/10/2017,,,,,,,,,,$        136.57,-8%,1.64%,$         161.57,$          67.72,$              46.91,$          38.49,1.41%,3.12%,1.77%,1.44%,-12.11%,-12.11%,-21%,,,,5Y CAGR,3.89%,,Yum! Brands Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.50%,,Yum! Brands Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Yum! Brands Inc - Rating: 84% - Upside: 9%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        51.92,,,12/29/2014,,12/29/2014,,,,,3.64%,$              51.92,1.89,126.19,60.62,106.66,-13%,143%,1.50%,3.12%,4.66%,184.65%,196.61%,6.21,1.77%,0.00%,,1997,0.00,-,84,,,0,1.44%,50,50,1.88%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        51.79,,,1/5/2015,,1/5/2015,,,,,3.65%,$              51.79,1.89,126.19,60.62,106.66,-13%,144%,1.50%,3.12%,4.67%,185.36%,197.35%,6.21,1.77%,-0.25%,,1998,0.00,,9,,,1,1.47%,64,114,2.41%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        51.43,,,1/12/2015,,1/12/2015,,,,,3.68%,$              51.43,1.89,126.19,60.62,106.66,-14%,145%,1.50%,3.12%,4.71%,187.40%,199.47%,6.21,1.77%,-0.96%,,1999,0.00,,,,,2,1.50%,100,214,3.77%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       49.67,,,1/20/2015,,1/20/2015,,,,,3.80%,$             49.67,1.89,126.19,60.62,106.66,-17%,154%,1.50%,3.12%,4.87%,197.55%,210.05%,6.21,1.77%,-4.33%,,2000,0.00,,1/1/1970,1970,,3,1.53%,73,287,2.75%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       49.00,,,1/26/2015,,1/26/2015,,,,,3.86%,$             49.00,1.89,126.19,60.62,106.66,-18%,158%,1.50%,3.12%,4.94%,201.66%,214.33%,6.21,1.77%,-5.64%,,2001,0.00,,1/1/1971,1971,,4,1.56%,117,404,4.41%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        48.91,,,2/2/2015,,2/2/2015,,,,,3.86%,$              48.91,1.89,126.19,60.62,106.66,-18%,158%,1.50%,3.12%,4.95%,202.19%,214.88%,6.21,1.77%,-5.80%,,2002,0.00,,1/1/1972,1972,,5,1.59%,139,543,5.24%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       50.02,,,2/9/2015,,2/9/2015,,,,,3.78%,$             50.02,1.89,126.19,60.62,106.66,-16%,152%,1.50%,3.12%,4.84%,195.45%,207.87%,6.21,1.77%,-3.66%,,2003,0.00,,1/1/1973,1973,,6,1.62%,158,701,5.95%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       49.64,,,2/17/2015,,2/17/2015,,,,,3.81%,$             49.64,1.89,126.19,60.62,106.66,-17%,154%,1.50%,3.12%,4.88%,197.77%,210.28%,6.21,1.77%,-4.40%,,2004,0.10,,1/1/1974,1974,,7,1.65%,141,842,5.31%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       50.34,,,2/23/2015,,2/23/2015,,,,,3.75%,$             50.34,1.89,126.19,60.62,106.66,-16%,151%,1.50%,3.12%,4.81%,193.60%,205.93%,6.21,1.77%,-3.05%,,2005,0.22,115.00%,1/1/1975,1975,,8,1.68%,133,975,5.01%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       48.24,,,3/2/2015,,3/2/2015,,,,,3.92%,$             48.24,1.89,126.19,60.62,106.66,-19%,162%,1.50%,3.12%,5.02%,206.38%,219.25%,6.21,1.77%,-7.09%,,2006,0.27,23.26%,1/1/1976,1976,,9,1.71%,121,1096,4.56%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       49.45,,,3/9/2015,,3/9/2015,,,,,3.82%,$             49.45,1.89,126.19,60.62,106.66,-17%,155%,1.50%,3.12%,4.89%,198.89%,211.45%,6.21,1.77%,-4.76%,,2007,0.53,98.11%,1/1/1977,1977,,10,1.74%,190,1286,7.16%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       48.89,,,3/16/2015,,3/16/2015,,,,,3.87%,$             48.89,1.89,126.19,60.62,106.66,-18%,158%,1.50%,3.12%,4.95%,202.32%,215.02%,6.21,1.77%,-5.84%,,2008,0.68,29.52%,1/1/1978,1978,,11,1.77%,143,1429,5.39%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       49.59,,,3/23/2015,,3/23/2015,,,,,3.81%,$             49.59,1.89,126.19,60.62,106.66,-17%,154%,1.50%,3.12%,4.88%,198.07%,210.59%,6.21,1.77%,-4.50%,,2009,0.78,14.71%,1/1/1979,1979,,12,1.80%,153,1582,5.76%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       49.60,,,3/30/2015,,3/30/2015,,,,,3.81%,$             49.60,1.89,126.19,60.62,106.66,-17%,154%,1.50%,3.12%,4.88%,197.98%,210.50%,6.21,1.77%,-4.47%,,2010,0.88,12.82%,1/1/1980,1980,,13,1.83%,149,1731,5.61%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       48.46,,,4/6/2015,,4/6/2015,,,,,3.90%,$             48.46,1.89,126.19,60.62,106.66,-19%,160%,1.50%,3.12%,4.99%,205.01%,217.83%,6.21,1.77%,-6.68%,,2011,1.04,17.61%,1/1/1981,1981,,14,1.86%,168,1899,6.33%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       50.24,,,4/13/2015,,4/13/2015,,,,,3.76%,$             50.24,1.89,126.19,60.62,106.66,-16%,151%,1.50%,3.12%,4.82%,194.19%,206.55%,6.21,1.77%,-3.24%,,2012,1.19,14.98%,1/1/1982,1982,,15,1.89%,121,2020,4.56%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       49.90,,,4/20/2015,,4/20/2015,,,,,3.79%,$             49.90,1.89,126.19,60.62,106.66,-16%,153%,1.50%,3.12%,4.85%,196.18%,208.62%,6.21,1.77%,-3.89%,,2013,1.38,15.55%,1/1/1983,1983,,16,1.92%,76,2096,2.86%
