ticker,nombre,sector,indice,tipo
WLY US,John Wiley & Sons Inc,Communication Services,Aristocrats,Banquillo
SCMN SE,Swisscom AG,Communication Services,Aristocrats,No info
NTTYY US,Nippon Telegraph & Telephone C,Communication Services,Aristocrats,No info
TU US,TELUS Corp,Communication Services,Aristocrats,No info
T CN,TELUS Corp,Communication Services,Aristocrats,No info
9984 JP,SoftBank Group Corp,Communication Services,Aristocrats,No info
VZ US,Verizon Communications Inc,Communication Services,Achievers,Titular
RCI/B CN,Rogers Communications Inc,Communication Services,Achievers,No info
RCI US,Rogers Communications Inc,Communication Services,Achievers,No info
CMCSA US,Comcast Corp,Communication Services,Achievers,Banquillo
CAR AU,CAR Group Ltd,Communication Services,Aristocrats,No info
TEL NO,Telenor ASA,Communication Services,Aristocrats,No info
QBR/B CN,Quebecor Inc,Communication Services,Achievers,No info
BOL FP,Bollore SE,Communication Services,Achievers,No info
NXST US,Nexstar Media Group Inc,Communication Services,Achievers,Banquillo
ELISA FH,Elisa Oyj,Communication Services,Aristocrats,No info
TKA AV,Telekom Austria AG,Communication Services,Aristocrats,No info
700 HK,Tencent Holdings Ltd,Communication Services,Aristocrats,No info
SIRI US,Sirius XM Holdings Inc,Communication Services,-,No info
KDDIY US,KDDI Corp,Communication Services,Achievers,No info
KPN NA,Koninklijke KPN NV,Communication Services,-,No info
NYT US,New York Times Co/The,Communication Services,-,No info
TCEHY US,Tencent Holdings Ltd,Communication Services,Achievers,No info
TMUS US,T-Mobile US Inc,Communication Services,-,No info
META US,Meta Platforms Inc,Communication Services,-,No info
GOOGL US,Alphabet Inc,Communication Services,-,No info
GPC US,Genuine Parts Co,Consumer Discretionary,Dividend King,Banquillo
LOW US,Lowe's Cos Inc,Consumer Discretionary,Dividend King,Titular
MCD US,McDonald's Corp,Consumer Discretionary,Aristocrats,Banquillo
HESAY US,Hermes International SCA,Consumer Discretionary,Aristocrats,No info
NKE US,NIKE Inc,Consumer Discretionary,Achievers,No info
BBY US,Best Buy Co Inc,Consumer Discretionary,Achievers,No info
WSM US,Williams-Sonoma Inc,Consumer Discretionary,Achievers,No info
HD US,Home Depot Inc/The,Consumer Discretionary,Achievers,Titular
TSCO US,Tractor Supply Co,Consumer Discretionary,Achievers,No info
SBUX US,Starbucks Corp,Consumer Discretionary,Achievers,Banquillo
POOL US,Pool Corp,Consumer Discretionary,Achievers,No info
DPZ US,Domino's Pizza Inc,Consumer Discretionary,Achievers,No info
DOL CN,Dollarama Inc,Consumer Discretionary,Aristocrats,No info
TM US,Toyota Motor Corp,Consumer Discretionary,Achievers,No info
DKS US,Dick's Sporting Goods Inc,Consumer Discretionary,Achievers,No info
PAH3 GR,Porsche Automobil Holding SE,Consumer Discretionary,Achievers,No info
QSR CN,Restaurant Brands Internationa,Consumer Discretionary,Achievers,No info
VOW GR,Volkswagen AG,Consumer Discretionary,Achievers,No info
YUM US,Yum! Brands Inc,Consumer Discretionary,-,No info
WING US,Wingstop Inc,Consumer Discretionary,-,No info
GRMN US,Garmin Ltd,Consumer Discretionary,-,No info
EBAY US,eBay Inc,Consumer Discretionary,-,No info
LVMUY US,LVMH Moet Hennessy Louis Vuitt,Consumer Discretionary,-,No info
GM US,General Motors Co,Consumer Discretionary,-,No info
P911 GR,Porsche AG,Consumer Discretionary,-,No info
BKNG US,Booking Holdings Inc,Consumer Discretionary,-,No info
LEN US,Lennar Corp,Consumer Discretionary,-,No info
ITX SM,Industria de Diseno Textil SA,Consumer Discretionary,-,No info
PG US,Procter & Gamble Co/The,Consumer Staples,Dividend King,Banquillo
KVUE US,Kenvue Inc,Consumer Staples,Dividend King,No info
MZTI US,Marzetti Company/The,Consumer Staples,Dividend King,No info
KO US,Coca-Cola Co/The,Consumer Staples,Dividend King,No info
CL US,Colgate-Palmolive Co,Consumer Staples,Dividend King,No info
HRL US,Hormel Foods Corp,Consumer Staples,Dividend King,No info
TGT US,Target Corp,Consumer Staples,Dividend King,Banquillo
MO US,Altria Group Inc,Consumer Staples,Dividend King,Titular
UVV US,Universal Corp/VA,Consumer Staples,Dividend King,No info
SYY US,Sysco Corp,Consumer Staples,Dividend King,No info
PEP US,PepsiCo Inc,Consumer Staples,Dividend King,Titular
KMB US,Kimberly-Clark Corp,Consumer Staples,Dividend King,No info
WMT US,Walmart Inc,Consumer Staples,Dividend King,No info
ADM US,Archer-Daniels-Midland Co,Consumer Staples,Dividend King,No info
CLX US,Clorox Co/The,Consumer Staples,Aristocrats,No info
OR FP,L'Oreal SA,Consumer Staples,Aristocrats,No info
DEO US,Diageo PLC,Consumer Staples,Aristocrats,No info
UL US,Unilever PLC,Consumer Staples,Aristocrats,No info
NSRGY US,Nestle SA,Consumer Staples,Aristocrats,No info
BTI US,British American Tobacco PLC,Consumer Staples,Aristocrats,No info
CASY US,Casey's General Stores Inc,Consumer Staples,Aristocrats,No info
COST US,Costco Wholesale Corp,Consumer Staples,Achievers,No info
KR US,Kroger Co/The,Consumer Staples,Achievers,No info
HSY US,Hershey Co/The,Consumer Staples,Achievers,Banquillo
ADRNY US,Koninklijke Ahold Delhaize NV,Consumer Staples,Aristocrats,Titular
PM US,Philip Morris International In,Consumer Staples,Achievers,No info
WDFC US,WD-40 Co,Consumer Staples,Achievers,No info
TSN US,Tyson Foods Inc,Consumer Staples,Achievers,No info
MDLZ US,Mondelez International,Consumer Staples,Achievers,No info
STZ US,Constellation Brands Inc,Consumer Staples,Achievers,No info
DG US,Dollar General Corp,Consumer Staples,-,No info
LW US,Lamb Weston Holdings Inc,Consumer Staples,-,No info
GIS US,General Mills Inc,Consumer Staples,-,No info
MICC US,Magnum Ice Cream Co NV/The,Consumer Staples,Candidate,No info
XOM US,Exxon Mobil Corp,Energy,Aristocrats,Banquillo
CVX US,Chevron Corp,Energy,Aristocrats,Banquillo
IMO US,Imperial Oil Ltd,Energy,Aristocrats,No info
ENB CN,Enbridge Inc,Energy,Aristocrats,Titular
RELIANCE IN,Reliance Industries Ltd,Energy,Aristocrats,No info
CNQ CN,Canadian Natural Resources Ltd,Energy,Aristocrats,Titular
TTE US,TotalEnergies SE,Energy,Aristocrats,Banquillo
TRP US,TC Energy Corp,Energy,Aristocrats,No info
PSX US,Phillips 66,Energy,Achievers,No info
COP US,ConocoPhillips,Energy,-,No info
DVN US,Devon Energy Corp,Energy,-,No info
KMI US,Kinder Morgan Inc,Energy,-,No info
GEI CN,Gibson Energy Inc,Energy,-,No info
TPL US,Texas Pacific Land Corp,Energy,-,No info
CINF US,Cincinnati Financial Corp,Financials,Dividend King,No info
SPGI US,S&P Global Inc,Financials,Dividend King,No info
BNS CN,Bank of Nova Scotia/The,Financials,Aristocrats,Cantera
BMO CN,Bank of Montreal,Financials,Aristocrats,No info
BEN US,Franklin Resources Inc,Financials,Aristocrats,No info
AFL US,Aflac Inc,Financials,Aristocrats,No info
TROW US,T Rowe Price Group Inc,Financials,Aristocrats,Cantera
THFF US,First Financial Corp,Financials,Aristocrats,No info
CB US,Chubb Ltd,Financials,Aristocrats,No info
BRO US,Brown & Brown Inc,Financials,Aristocrats,No info
OZK US,Bank OZK,Financials,Aristocrats,No info
FDS US,FactSet Research Systems Inc,Financials,Aristocrats,No info
AFG US,American Financial Group Inc/O,Financials,Achievers,No info
AMP US,Ameriprise Financial Inc,Financials,Achievers,No info
EVR US,Evercore Inc,Financials,Achievers,No info
BLK US,BlackRock Inc,Financials,Achievers,Titular
PRU US,Prudential Financial Inc,Financials,Achievers,Titular
UNM US,Unum Group,Financials,Achievers,No info
V US,Visa Inc,Financials,Achievers,Banquillo
MCO US,Moody's Corp,Financials,Achievers,No info
MRSH US,Marsh & McLennan Cos Inc,Financials,Achievers,No info
FMAO US,Farmers & Merchants Bancorp In,Financials,Achievers,No info
JPM US,JPMorgan Chase & Co,Financials,Achievers,Banquillo
ALL US,Allstate Corp/The,Financials,Achievers,No info
BNY US,Bank of New York Mellon Corp/T,Financials,Achievers,No info
MAIN US,Main Street Capital Corp,Financials,Achievers,No info
CME US,CME Group Inc,Financials,Achievers,No info
USB US,US Bancorp,Financials,Achievers,No info
MA US,Mastercard Inc,Financials,Achievers,No info
TD US,Toronto-Dominion Bank/The,Financials,Aristocrats,No info
RY US,Royal Bank of Canada,Financials,Aristocrats,No info
KEY US,KeyCorp,Financials,Achievers,No info
GS US,Goldman Sachs Group Inc/The,Financials,Achievers,No info
AGO US,Assured Guaranty Ltd,Financials,Achievers,No info
AON US,Aon PLC,Financials,Achievers,No info
MET US,MetLife Inc,Financials,Achievers,No info
NDAQ US,Nasdaq Inc,Financials,Achievers,No info
ICE US,Intercontinental Exchange Inc,Financials,Achievers,No info
BAER SW,Julius Baer Group Ltd,Financials,Aristocrats,No info
MS US,Morgan Stanley,Financials,Achievers,No info
BAC US,Bank of America Corp,Financials,Achievers,Banquillo
MORN US,Morningstar Inc,Financials,Achievers,No info
MSCI US,MSCI Inc,Financials,Achievers,No info
MTB US,M&T Bank Corp,Financials,-,No info
PFG US,Principal Financial Group Inc,Financials,-,No info
WTW US,Willis Towers Watson PLC,Financials,-,No info
ARES US,Ares Management Corp,Financials,-,No info
KKR US,KKR & Co Inc,Financials,-,No info
SCHW US,Charles Schwab Corp/The,Financials,-,No info
AXP US,American Express Co,Financials,-,No info
APO US,Apollo Global Management Inc,Financials,-,No info
BAM US,Brookfield Asset Management Lt,Financials,-,No info
IBKR US,Interactive Brokers Group Inc,Financials,Achievers,No info
BN US,Brookfield Corp,Financials,-,No info
C US,Citigroup Inc,Financials,-,No info
ARCC US,Ares Capital Corp,Financials,-,No info
BRK/B US,Berkshire Hathaway Inc,Financials,-,Titular
BX US,Blackstone Inc,Financials,-,No info
CG US,Carlyle Group Inc/The,Financials,-,No info
JNJ US,Johnson & Johnson,Health Care,Dividend King,Banquillo
ABT US,Abbott Laboratories,Health Care,Dividend King,Titular
BDX US,Becton Dickinson & Co,Health Care,Dividend King,No info
